ticker,name,sector,roe,revCAGR,epsCAGR,pe,fy_window,rebalance_date
KPIL,Kalpataru Projects International Ltd,Construction,12.37,11.5,-5.31,24.09,FY2021-FY2025,2025-12-25
KALYANKJIL,Kalyan Jewellers India Ltd,Consumer Durables,10.61,24.19,37.89,45.6,FY2021-FY2025,2025-12-25
KARURVYSYA,Karur Vysya Bank Ltd,Banks,12.63,12.09,39.9,10.54,FY2021-FY2025,2025-12-25
KAYNES,Kaynes Technology India Ltd,Capital Goods,14.18,45.32,27.16,70.38,FY2021-FY2025,2025-12-25
KEC,KEC International Ltd,Construction,10.63,10.75,-0.06,29.04,FY2021-FY2025,2025-12-25
KFINTECH,KFin Technologies Ltd,Financial Services,17.79,17.47,,55.39,FY2021-FY2025,2025-12-25
KIRLOSENG,Kirloskar Oil Engines Ltd,Capital Goods,13.72,14.01,20.11,34.49,FY2021-FY2025,2025-12-25
KOTAKBANK,Kotak Mahindra Bank Ltd,Banks,14.27,14.88,17.17,22.89,FY2021-FY2025,2025-12-25
KIMS,Krishna Institute of Medical Sciences Ltd,Healthcare,24.54,17.94,13.11,85.44,FY2021-FY2025,2025-12-25
LTF,L&T Finance Ltd,Financial Services,7.92,3.58,21.95,26.98,FY2021-FY2025,2025-12-25
LTTS,L&T Technology Services Ltd,Information Technology,23.97,14.38,13.64,39.55,FY2021-FY2025,2025-12-25
LGEINDIA,LG Electronics India Ltd,Consumer Durables,30.54,10.06,,60.09,FY2021-FY2025,2025-12-25
LICHSGFIN,LIC Housing Finance Ltd,Financial Services,13.52,7.17,12.75,5.35,FY2021-FY2025,2025-12-25
LTFOODS,L T Foods Ltd,Fast Moving Consumer Goods,17.71,13.33,15.26,21.65,FY2021-FY2025,2025-12-25
LTM,LTM Ltd,Information Technology,28.45,25.17,6.98,38.66,FY2021-FY2025,2025-12-25
LT,Larsen & Toubro Ltd,Construction,16.56,13.47,5.8,34.34,FY2021-FY2025,2025-12-25
LATENTVIEW,Latent View Analytics Ltd,Information Technology,15.83,22.61,-40.42,48.41,FY2021-FY2025,2025-12-25
LAURUSLABS,Laurus Labs Ltd,Healthcare,21.36,2.9,-18.38,68.4,FY2021-FY2025,2025-12-25
THELEELA,Leela Palaces Hotels & Resorts Ltd,Consumer Services,1.08,52.14,,61.4,FY2021-FY2025,2025-12-25
LEMONTREE,Lemon Tree Hotels Ltd,Consumer Services,3.83,36.92,,126.99,FY2021-FY2025,2025-12-25
LENSKART,Lenskart Solutions Ltd,Consumer Services,-0.09,49.03,0.21,82.88,FY2021-FY2025,2025-12-25
LICI,Life Insurance Corporation of India,Financial Services,73.95,5.4,,10.21,FY2021-FY2025,2025-12-25
LINDEINDIA,Linde India Ltd,Chemicals,12.72,,,85.98,FY2021-FY2025,2025-12-25
LLOYDSME,Lloyds Metals & Energy Ltd,Metals & Mining,22.29,93.0,388.47,30.05,FY2021-FY2025,2025-12-25
LODHA,Lodha Developers Ltd,Realty,8.9,20.39,122.34,32.34,FY2021-FY2025,2025-12-25
LUPIN,Lupin Ltd,Healthcare,7.33,8.41,21.8,20.78,FY2021-FY2025,2025-12-25
MMTC,MMTC Ltd,Services,-3.1,-86.95,,47.68,FY2021-FY2025,2025-12-25
MRF,MRF Ltd,Automobile and Auto Components,8.81,11.74,7.92,29.15,FY2021-FY2025,2025-12-25
MGL,Mahanagar Gas Ltd,Oil Gas & Consumable Fuels,20.94,26.32,11.02,11.82,FY2021-FY2025,2025-12-25
